Investor ID,Organization/Person Name,Organization/Person Name URL,Longitude,Latitude,Location,Country,Accelerator,Angel Group,Micro VC,Corporate Venture Capital,Specific VC Binary,Local Investor,Hub Investor,Lead Investor,Target VC,Seed Investments Count,Seed Lead Investments Count,Unique Companies Count,Unique Industries Count,Local Investments Count,Avg Investment Distance (km),Hub Investments Count,Unique Countries Count,Fundraising Success Count,Successful Investments Count,CB Rank (Investor)
000026,DN Capital,https://www.crunchbase.com/organization/dn-capital,-122.177992,37.4519671,"Menlo Park, California, United States",United States,False,False,False,False,False,False,True,False,False,41.0,8.0,38.0,37.0,0.0,8921.933358425302,36,7.0,21,21,3401.0
000027,Elevate Ventures,https://www.crunchbase.com/organization/elevate-ventures,-86.1583502,39.7683331,"Indianapolis, Indiana, United States",United States,False,False,False,False,False,False,False,True,False,2.0,2.0,2.0,2.0,0.0,6991.7357755212615,1,2.0,0,0,2815.0
000028,b2venture,https://www.crunchbase.com/organization/btovpartners,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,True,False,False,71.0,31.0,59.0,38.0,25.0,438.65742329885273,61,7.0,28,28,3676.0
000029,EIT InnoEnergy,https://www.crunchbase.com/organization/kic-innoenergy,5.478633,51.4392648,"Eindhoven, Noord-Brabant, The Netherlands",The Netherlands,True,False,False,False,True,False,False,False,False,79.0,24.0,60.0,26.0,6.0,886.0343932902817,40,12.0,5,5,8866.0
000030,Cultivation Capital,https://www.crunchbase.com/organization/cultivation-capital,-90.1910154,38.6280278,"St Louis, Missouri, United States",United States,False,False,False,False,True,False,False,True,True,3.0,2.0,2.0,10.0,0.0,7858.360090020135,1,2.0,0,0,682.0
000031,Brinc,https://www.crunchbase.com/organization/brinc-io,114.1582784,22.2818286,"Central, Hong Kong Island, Hong Kong",Hong Kong,True,False,False,False,False,False,False,False,False,23.0,1.0,23.0,26.0,0.0,9247.691136549009,13,8.0,1,1,5159.0
000032,Cherry Ventures,https://www.crunchbase.com/organization/cherry-ventures,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,True,True,True,87.0,52.0,73.0,37.0,48.0,273.033358707163,69,7.0,37,37,165.0
000033,Atlantic Labs,https://www.crunchbase.com/organization/atlantic-labs,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,True,True,False,141.0,95.0,109.0,45.0,98.0,164.50334895777664,115,9.0,56,56,1676.0
000034,Orange DAO,https://www.crunchbase.com/organization/orange-fund,-122.4193286,37.7792588,"San Francisco, California, United States",United States,True,False,False,False,False,False,True,False,True,3.0,0.0,2.0,4.0,0.0,8942.490514723875,3,2.0,0,0,1105.0
000035,Target Global,https://www.crunchbase.com/organization/target-ventures,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,False,False,True,True,32.0,17.0,28.0,33.0,5.0,745.621736518133,23,6.0,15,15,986.0
000036,Industrifonden,https://www.crunchbase.com/organization/industrifonden,18.0710935,59.3251172,"Stockholm, Stockholms Lan, Sweden",Sweden,False,False,False,False,True,False,True,False,False,1.0,0.0,1.0,3.0,0.0,809.6040300285617,1,1.0,0,0,14660.0
000037,Heartcore Capital,https://www.crunchbase.com/organization/heartcore-capital,12.5700724,55.6867243,"Copenhagen, Hovedstaden, Denmark",Denmark,False,False,False,False,False,False,True,True,True,52.0,30.0,42.0,32.0,13.0,728.0880246534782,40,6.0,27,27,892.0
000038,Investible,https://www.crunchbase.com/organization/investible,151.2082848,-33.8698439,"Sydney, New South Wales, Australia",Australia,False,True,False,False,True,False,False,False,False,4.0,1.0,4.0,13.0,0.0,16605.68303528957,2,2.0,0,0,3933.0
000039,Blockchain Capital,https://www.crunchbase.com/organization/crypto-currency-partners,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,False,False,True,False,False,False,True,1.0,0.0,1.0,1.0,0.0,8953.058873364853,0,1.0,0,0,182.0
000040,Cherubic Ventures,https://www.crunchbase.com/organization/cherubic-ventures,121.53185,25.04776,"Taipei, T'ai-pei, Taiwan",Taiwan,False,False,False,False,False,False,True,False,True,6.0,1.0,5.0,17.0,0.0,9482.660011185622,6,3.0,1,1,831.0
000041,GSR,https://www.crunchbase.com/organization/gsr,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,True,True,False,False,5.0,1.0,4.0,4.0,4.0,68.52168080502187,4,2.0,0,0,2285.0
000042,Firstminute Capital,https://www.crunchbase.com/organization/firstminute-capital,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,False,False,False,True,56.0,23.0,52.0,35.0,30.0,344.20065703250395,40,10.0,14,14,983.0
000043,AU21 Capital,https://www.crunchbase.com/organization/au21-capital,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,False,False,True,False,False,False,False,8.0,0.0,8.0,16.0,0.0,8838.045763906755,6,4.0,1,1,37556.0
000044,7percent Ventures,https://www.crunchbase.com/organization/7-percent,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,True,False,False,False,True,False,True,76.0,11.0,57.0,38.0,60.0,129.78079330395877,64,8.0,9,9,1083.0
000045,Shima Capital,https://www.crunchbase.com/organization/shima-capital,-66.116666,18.465299,"San Juan, NA - Puerto Rico, Puerto Rico",Puerto Rico,False,False,False,False,True,False,False,False,False,3.0,1.0,3.0,3.0,0.0,7450.771926357808,1,3.0,1,1,17474.0
000046,Chiratae Ventures,https://www.crunchbase.com/organization/idg-ventures,77.590082,12.9767936,"Bangalore, Karnataka, India",India,False,False,False,False,False,False,False,False,True,2.0,1.0,1.0,9.0,0.0,6895.752940662851,0,1.0,0,0,1080.0
000047,Big Brain Holdings,https://www.crunchbase.com/organization/big-brain-holdings,-80.399513,26.1003392,"Weston, Florida, United States",United States,False,False,False,False,True,False,True,False,False,5.0,1.0,5.0,10.0,0.0,7159.174430607798,4,2.0,0,0,7505.0
000048,Starta VC,https://www.crunchbase.com/organization/starta-capital,-74.0060152,40.7127281,"New York, New York, United States",United States,True,False,False,False,False,False,True,False,False,9.0,4.0,9.0,20.0,0.0,5932.861239721869,7,6.0,0,0,3910.0
000049,1kx,https://www.crunchbase.com/organization/1kx,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,True,False,False,False,2.0,1.0,2.0,0.0,2.0,0.0,1,1.0,0,0,4544.0
000050,Possible Ventures,https://www.crunchbase.com/organization/possible-ventures,11.5753822,48.1371079,"Munich, Bayern, Germany",Germany,False,False,False,False,False,False,True,False,False,51.0,1.0,46.0,34.0,11.0,519.9640804427856,39,9.0,11,11,14904.0
000051,GBV Capital,https://www.crunchbase.com/organization/genesis-block-ventures,-81.2445328,19.2824849,"Grand Cayman, Midland, Cayman Islands",Cayman Islands,False,False,False,False,True,False,False,False,False,7.0,0.0,7.0,12.0,0.0,7867.066962019378,5,3.0,1,1,45562.0
000052,Startupbootcamp Australia,https://www.crunchbase.com/organization/startupbootcamp-energy-australia,144.9631732,-37.8142454,"Melbourne, Victoria, Australia",Australia,True,True,False,False,False,False,False,False,False,15.0,2.0,15.0,24.0,0.0,16761.712216217515,11,6.0,1,1,6191.0
000053,TQ Ventures,https://www.crunchbase.com/organization/tq-ventures,-74.0060152,40.7127281,"New York, New York, United States",United States,False,False,False,False,False,False,False,False,True,16.0,4.0,13.0,21.0,0.0,6127.093620756175,12,6.0,7,7,602.0
000054,Giza Venture Capital,https://www.crunchbase.com/organization/giza-venture-capital,34.7818064,32.0852997,"Tel Aviv, Tel Aviv, Israel",Israel,False,False,False,False,False,False,False,False,False,1.0,0.0,1.0,4.0,0.0,2402.3070060523364,0,1.0,1,1,27503.0
000055,Credo Ventures,https://www.crunchbase.com/organization/credo-ventures,14.4464593,50.0596288,"Prague, Hlavni mesto Praha, Czech Republic",Czech Republic,False,False,False,False,False,False,False,True,False,29.0,15.0,24.0,30.0,5.0,663.5663716118487,20,7.0,7,7,2883.0
000056,Expa,https://www.crunchbase.com/organization/expa,-122.4193286,37.7792588,"San Francisco, California, United States",United States,True,False,False,False,False,False,True,False,False,8.0,1.0,8.0,18.0,0.0,9057.696866191056,7,5.0,4,4,10075.0
000057,TusStar,https://www.crunchbase.com/organization/tusstar,116.3912972,39.9057136,"Beijing, Beijing, China",China,True,False,False,False,False,False,False,True,False,5.0,5.0,5.0,6.0,0.0,8018.656467875568,2,5.0,0,0,21469.0
000058,Kenetic,https://www.crunchbase.com/organization/kenetic-capital,114.1582784,22.2818286,"Central, Hong Kong Island, Hong Kong",Hong Kong,False,False,False,False,True,False,False,False,False,3.0,1.0,3.0,6.0,0.0,9627.79940436111,2,1.0,1,1,18829.0
000059,Genblock Capital,https://www.crunchbase.com/organization/genblock-capital,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,False,False,True,False,True,False,False,5.0,0.0,5.0,8.0,0.0,8715.057072167478,4,3.0,1,1,23754.0
000060,Capnamic,https://www.crunchbase.com/organization/capnamic-ventures,6.959974,50.938361,"Cologne, Nordrhein-Westfalen, Germany",Germany,False,False,False,False,False,False,False,True,False,45.0,24.0,37.0,32.0,9.0,343.9278456902054,29,4.0,18,18,1908.0
000061,Lemniscap,https://www.crunchbase.com/organization/lemniscap,-81.23333,19.31667,"George Town, Midland, Cayman Islands",Cayman Islands,False,False,False,False,True,False,False,False,False,2.0,1.0,2.0,2.0,0.0,7942.359136899226,0,1.0,0,0,2754.0
000062,SevenX Ventures,https://www.crunchbase.com/organization/sevenx-ventures,103.85007,1.28967,"Singapore, Central Region, Singapore",Singapore,False,False,False,False,True,False,False,False,False,1.0,0.0,1.0,3.0,0.0,10736.821645013782,0,1.0,0,0,18862.0
000063,Momentum 6,https://www.crunchbase.com/organization/momentum-6-d0a1,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,False,False,True,False,False,False,False,6.0,0.0,6.0,13.0,0.0,8830.504575407402,3,5.0,1,1,20457.0
000064,Trajectory Ventures,https://www.crunchbase.com/organization/trajectory-ventures,-74.0060152,40.7127281,"New York, New York, United States",United States,False,False,True,False,False,False,True,False,False,3.0,0.0,3.0,9.0,0.0,6064.1018121691495,3,3.0,0,0,18085.0
000065,Hoxton Ventures,https://www.crunchbase.com/organization/hoxton-ventures,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,True,False,False,False,False,True,False,42.0,29.0,40.0,28.0,33.0,237.40724368587607,31,6.0,11,11,9260.0
000066,Colopl Next,https://www.crunchbase.com/organization/colopl-next,139.766706,35.6812546,"Tokyo, Tokyo, Japan",Japan,False,False,False,True,False,False,True,False,False,3.0,0.0,3.0,12.0,0.0,8656.548651958472,3,3.0,0,0,4550.0
000067,Leblon Capital,https://www.crunchbase.com/organization/leblon-capital,11.5753822,48.1371079,"Munich, Bayern, Germany",Germany,False,False,False,False,False,False,False,False,False,27.0,2.0,27.0,30.0,5.0,571.9159207824806,16,8.0,8,8,9459.0
000068,Fabric Ventures,https://www.crunchbase.com/organization/fabric-ventures,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,True,False,False,True,True,4.0,3.0,4.0,10.0,1.0,627.1290836516687,2,3.0,0,0,630.0
000069,Piton Capital,https://www.crunchbase.com/organization/piton-capital,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,False,True,False,False,20.0,6.0,14.0,20.0,4.0,709.8735996418899,20,5.0,10,10,16148.0
000070,Kindred Capital,https://www.crunchbase.com/organization/kindredcapital,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,False,True,True,True,43.0,23.0,37.0,36.0,34.0,124.93219216556362,36,4.0,19,19,566.0
000071,Joyance Partners,https://www.crunchbase.com/organization/joyance-partners,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,False,False,False,False,False,False,False,21.0,2.0,19.0,24.0,0.0,8997.545830376337,11,6.0,2,2,7079.0
000072,Maven 11 Capital,https://www.crunchbase.com/organization/maven-11-capital,4.8924534,52.3730796,"Amsterdam, Noord-Holland, The Netherlands",The Netherlands,False,False,False,False,True,False,False,False,False,3.0,1.0,3.0,1.0,1.0,687.1703599241955,2,2.0,0,0,4363.0
000073,NAP,https://www.crunchbase.com/organization/nap-vc,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,True,True,False,49.0,30.0,43.0,37.0,22.0,449.27417819117596,42,8.0,14,14,1629.0
000074,10x Group,https://www.crunchbase.com/organization/10xgroup,11.5753822,48.1371079,"Munich, Bayern, Germany",Germany,False,False,False,False,False,False,True,False,False,15.0,2.0,14.0,27.0,5.0,347.29905652193935,12,2.0,7,7,18290.0
000075,SquareOne Venture Capital,https://www.crunchbase.com/organization/squarone-vc,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,False,False,False,39.0,16.0,33.0,30.0,16.0,346.39963079487967,27,7.0,9,9,3475.0
000076,BlueYard Capital,https://www.crunchbase.com/organization/blueyard-capital,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,True,False,False,True,True,19.0,12.0,15.0,19.0,7.0,436.41257461426136,13,6.0,5,5,1201.0
000077,Kosmos Ventures,https://www.crunchbase.com/organization/kosmos-capital,115.8605855,-31.9558933,"Perth, Western Australia, Australia",Australia,False,False,False,False,True,False,False,False,False,3.0,0.0,3.0,8.0,0.0,13949.389738297972,2,2.0,0,0,20558.0
000078,PROfounders Capital,https://www.crunchbase.com/organization/profounders-capital,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,False,False,False,False,31.0,14.0,28.0,31.0,6.0,979.4230783147694,23,10.0,12,12,2309.0
000079,Peak,https://www.crunchbase.com/organization/peak-capital,4.8924534,52.3730796,"Amsterdam, Noord-Holland, The Netherlands",The Netherlands,False,False,False,False,False,False,False,True,False,43.0,26.0,39.0,34.0,23.0,262.232908620109,28,7.0,9,9,11492.0
000080,Firebolt Ventures,https://www.crunchbase.com/organization/firebolt-ventures,-122.1598465,37.4443293,"Palo Alto, California, United States",United States,False,False,False,False,False,False,False,False,False,3.0,0.0,3.0,7.0,0.0,8810.08859702931,2,3.0,0,0,4010.0
000081,Bright Pixel (formerly Sonae IM),https://www.crunchbase.com/organization/sonae-im,-8.6299982,41.2373456,"Maia, Porto, Portugal",Portugal,False,False,False,True,False,False,False,False,False,14.0,6.0,12.0,18.0,3.0,745.5848569246383,10,5.0,4,4,12500.0
000082,Rheingau Founders,https://www.crunchbase.com/organization/rheingau-founders,13.3989367,52.510885,"Berlin, Berlin, Germany",Germany,False,False,False,False,False,False,True,False,False,45.0,17.0,34.0,32.0,35.0,117.55496745441359,44,5.0,18,18,22482.0
000084,S28 Capital,https://www.crunchbase.com/organization/spectrum-28,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,False,False,False,False,False,False,False,3.0,1.0,3.0,8.0,0.0,8935.892386800582,2,2.0,1,1,14649.0
000085,Manta Ray Ventures,https://www.crunchbase.com/organization/manta-ray-ventures,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,False,False,False,False,10.0,1.0,10.0,19.0,3.0,686.4314210506484,6,5.0,4,4,19298.0
000086,Demium Capital,https://www.crunchbase.com/organization/think-bigger-capital,-0.3763353,39.4697065,"Valencia, Comunidad Valenciana, Spain",Spain,False,False,False,False,False,False,False,True,False,29.0,19.0,25.0,29.0,0.0,982.3337028421603,15,6.0,0,0,14109.0
000087,Presto Ventures,https://www.crunchbase.com/organization/presto-ventures,14.4464593,50.0596288,"Prague, Hlavni mesto Praha, Czech Republic",Czech Republic,False,False,False,False,False,False,False,True,False,51.0,27.0,42.0,38.0,21.0,453.60107245224003,28,10.0,7,7,2966.0
000088,Innovation Nest,https://www.crunchbase.com/organization/innovation-nest,19.9368564,50.0619474,"Kraków, Malopolskie, Poland",Poland,False,False,True,False,False,False,False,False,False,37.0,9.0,31.0,35.0,13.0,635.4533210441793,15,5.0,7,7,22340.0
000089,Giant Ventures,https://www.crunchbase.com/organization/giant-ventures-global,-0.1440551,51.4893335,"London, England, United Kingdom",United Kingdom,False,False,False,False,False,False,True,True,True,14.0,8.0,13.0,18.0,5.0,659.3581526000032,11,5.0,5,5,229.0
000090,Michelson Impact Ventures,https://www.crunchbase.com/organization/michelson-impact-ventures,-118.396466,34.0211224,"Culver City, California, United States",United States,False,False,False,False,False,False,False,False,False,9.0,0.0,9.0,11.0,0.0,8870.403155187492,5,5.0,0,0,25775.0
000091,Nina Capital,https://www.crunchbase.com/organization/nina-capital,2.177073,41.3825802,"Barcelona, Catalonia, Spain",Spain,False,False,True,False,False,False,False,True,False,33.0,17.0,25.0,15.0,2.0,1189.45317364821,22,12.0,0,0,2139.0
000092,Finch Capital,https://www.crunchbase.com/organization/finch-capital,4.8924534,52.3730796,"Amsterdam, Noord-Holland, The Netherlands",The Netherlands,False,False,False,False,False,False,True,False,False,18.0,9.0,14.0,18.0,9.0,293.3281859152125,16,5.0,10,10,4922.0
000093,10x Founders,https://www.crunchbase.com/organization/10x-founders,11.5753822,48.1371079,"Munich, Bayern, Germany",Germany,False,False,False,False,False,False,True,False,True,31.0,7.0,24.0,26.0,8.0,494.0908990793876,26,8.0,4,4,1002.0
000094,KAYA,https://www.crunchbase.com/organization/kaya-8ed9,14.4464593,50.0596288,"Prague, Hlavni mesto Praha, Czech Republic",Czech Republic,False,False,False,False,False,False,True,False,False,24.0,7.0,19.0,30.0,12.0,307.3677450380439,19,8.0,7,7,2475.0
000095,PortfoLion Capital Partners,https://www.crunchbase.com/organization/portfolion,19.0402383,47.4978789,"Budapest, Budapest, Hungary",Hungary,False,False,False,False,False,False,False,False,False,24.0,12.0,21.0,34.0,14.0,412.547850388557,5,7.0,5,5,6549.0
000096,Starta Accelerator,https://www.crunchbase.com/organization/starta-accelerator,-74.0060152,40.7127281,"New York, New York, United States",United States,True,False,False,False,False,False,True,False,False,6.0,2.0,6.0,19.0,0.0,6016.816346306517,5,5.0,0,0,27329.0
000097,Partner Ventures,https://www.crunchbase.com/organization/partner-ventures-llc,-122.219047,37.3736298,"Portola Valley, California, United States",United States,False,False,False,False,False,False,False,False,False,4.0,0.0,4.0,3.0,0.0,9191.1881571395,2,4.0,0,0,28942.0
000098,KittyHawk,https://www.crunchbase.com/organization/kittyhawk-ventures,-118.242766,34.0536909,"Los Angeles, California, United States",United States,False,False,False,False,False,False,False,False,False,5.0,2.0,4.0,15.0,0.0,9205.824307885354,1,3.0,1,1,14142.0
000099,Verissimo Ventures,https://www.crunchbase.com/organization/verissimo-ventures,-71.5159015,42.9464737,"Bedford, New Hampshire, United States",United States,False,False,False,False,False,False,False,False,False,6.0,0.0,5.0,11.0,0.0,5644.858216014006,4,3.0,3,3,21088.0
000100,Inovo.vc,https://www.crunchbase.com/organization/inovo-vc,21.0067249,52.2319581,"Warsaw, Mazowieckie, Poland",Poland,False,False,False,False,False,False,False,True,True,18.0,13.0,16.0,23.0,12.0,219.89159075732115,12,2.0,5,5,597.0
000101,Atlassian Ventures,https://www.crunchbase.com/organization/atlassian-ventures,151.2082848,-33.8698439,"Sydney, New South Wales, Australia",Australia,False,False,False,True,False,False,False,False,False,3.0,0.0,3.0,9.0,0.0,15774.491830492256,1,3.0,0,0,1453.0
000102,Tera Ventures,https://www.crunchbase.com/organization/tera-ventures,24.7453688,59.4372155,"Tallinn, Harjumaa, Estonia",Estonia,False,False,False,False,False,False,True,True,False,33.0,28.0,24.0,28.0,23.0,351.3614773001603,28,6.0,6,6,2914.0
000103,ZAKA VC,https://www.crunchbase.com/organization/zaka-startups,14.4464593,50.0596288,"Prague, Hlavni mesto Praha, Czech Republic",Czech Republic,False,False,False,False,False,False,True,False,False,25.0,5.0,22.0,31.0,6.0,636.4342848402177,23,9.0,0,0,3839.0
000104,500 Emerging Europe,https://www.crunchbase.com/organization/500-emerging-europe,-122.4193286,37.7792588,"San Francisco, California, United States",United States,False,False,False,False,False,False,False,False,False,10.0,3.0,9.0,14.0,0.0,9061.142883046354,5,3.0,4,4,5809.0
000105,Blizzard Fund,https://www.crunchbase.com/organization/blizzard-fund,-74.0060152,40.7127281,"New York, New York, United States",United States,False,False,False,False,False,False,False,False,False,3.0,0.0,3.0,3.0,0.0,5742.5012599013835,2,2.0,0,0,14085.0
000106,Market One Capital,https://www.crunchbase.com/organization/market-one-capital,6.1342493,49.5999681,"Luxembourg, Luxembourg, Luxembourg",Luxembourg,False,False,False,False,False,False,True,False,False,35.0,16.0,25.0,23.0,0.0,777.70678300468,27,8.0,10,10,12636.0
000107,GSD Venture Studios,https://www.crunchbase.com/organization/gsd-venture-studios,-122.177992,37.4519671,"Menlo Park, California, United States",United States,True,False,False,False,False,False,False,False,False,15.0,0.0,15.0,27.0,0.0,9018.024181438544,7,9.0,0,0,23040.0
000108,SET Ventures,https://www.crunchbase.com/organization/set-ventures,4.8924534,52.3730796,"Amsterdam, Noord-Holland, The Netherlands",The Netherlands,False,False,False,False,True,False,False,True,False,6.0,4.0,6.0,7.0,1.0,628.2628920053687,3,5.0,0,0,4627.0
000109,Sisu Game Ventures,https://www.crunchbase.com/organization/sisu-game-ventures,24.9413548,60.1717794,"Helsinki, Southern Finland, Finland",Finland,False,False,False,False,True,False,True,False,False,21.0,6.0,20.0,12.0,12.0,727.0339468567552,17,7.0,4,4,6906.0
